name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
Divine Access,67,50,61,"['Comedy', 'Drama']",,1h 46m,2015,"['Billy Burke', 'Patrick Warburton', 'Joel David Moore', 'Sarah Shahi', 'Dora Madison']",['Steven Chester Prince'],5743,0,5743,0
Johnny Be Good,0,30,10,['Comedy'],R,1h 24m,1988,"['Anthony Michael Hall', 'Robert Downey Jr.', 'Paul Gleason', 'Uma Thurman', 'Steve James']",['Bud Smith'],0,0,0,0
Pawno,78,83,79,[],,2015,2015,"['John Brumpton', 'Maeve Dermody', 'Damian Hill', 'Malcolm Kennard', 'Paul Ireland']",['Paul Ireland'],37664,9174,46838,0
Whiskey Tango Foxtrot,68,54,63,"['Comedy', 'Drama', 'Biography', 'War']",R,1h 51m,2016,"['Tina Fey', 'Margot Robbie', 'Martin Freeman', 'Alfred Molina', 'Christopher Abbott']","['Glenn Ficarra', 'John Requa']",0,0,0,0
Lockout,38,46,40,"['Sci-Fi', 'Action', 'Mystery & Thriller']",PG-13,1h 35m,2012,"['Guy Pearce', 'Maggie Grace', 'Vincent Regan', 'Joseph Gilgun', 'Lennie James']","['James Mather', 'Stephen St Leger']",676407,0,676407,0
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther'],101648571,135553728,237202299,90000000
Madame X,67,76,70,"['Documentary', 'Music']",,1h 0m,2021,"['Madonna', 'Ricardo Gomes']",['Ricardo Gomes'],5743,0,5743,0
Sound It Out,93,79,88,['Documentary'],,1h 15m,2011,"['Jeanie Finlay', 'Dunstan Bruce', 'Jeanie Finlay', 'Jeanie Finlay', 'Barbara Zosel']",['Jeanie Finlay'],31483450,45217209,76700659,15000000
Zipper: Coney Island's Last Wild Ride,75,90,80,['Documentary'],,1h 17m,2012,"['Amy Nicholson', 'Amy Nicholson', ""Ruben O'Malley"", 'Jerry Risius', 'Mark Schwartzbard']",['Amy Nicholson'],1236408,0,1236408,0
Fanny by Gaslight,50,52,50,['Drama'],,1h 48m,1944,"['Phyllis Calvert', 'James Mason', 'Stewart Granger', 'Wilfrid Lawson', 'Margaretta Scott']",['Anthony Asquith'],35014192,6083661,41097853,8000000
Requiem for the American Dream,92,84,89,['Biography'],,1h 13m,2015,"['Noam Chomsky', 'Peter D. Hutchison', 'Kelly Nyks', 'Jared P. Scott', 'Peter D. Hutchison']","['Peter D Hutchison', 'Kelly Nyks', 'Jared Scott']",50410,0,50410,0
Demon Seed,59,47,54,['Sci-Fi'],R,1h 34m,1977,"['Julie Christie', 'Fritz Weaver', 'Gerrit Graham', 'Berry Kroeger', 'Lisa Lu']",['Donald Cammell'],1208479,0,1208479,0
Looking Glass,21,11,17,['Mystery & Thriller'],R,1h 44m,2018,"['Nicolas Cage', 'Robin Tunney', 'Marc Blucas', 'Ernie Lively', 'Jacque Gray']",['Tim Hunter'],81159365,78649005,159808370,35000000
Embers,83,51,72,['Drama'],,1h 26m,2016,"['Jason Ritter', 'Iva Gocheva', 'Greta Fernández', 'Tucker Smallwood', 'Karl Glusman']",['Claire Carre'],4055660,3295401,7351061,0
Toy Story 4,97,94,95,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",G,1h 40m,2019,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key']",['Josh Cooley'],340726,0,340726,0
