112,The Villain,0,38,12,"['Western', 'Comedy']",PG,1h 29m,1979,"['Kirk Douglas', 'Ann-Margret', 'Arnold Schwarzenegger', 'Paul Lynde', 'Foster Brooks']",['Hal Needham']
113,The Sinners,47,41,45,"['Horror', 'Mystery & Thriller']",,1h 28m,2020,"['Kaitlyn Bernard', 'Brenna Llewellyn', 'Brenna Coates', 'Keilani Elizabeth Rose', 'Jasmine Randhawa']",['Courtney Paige']
114,The Djinn,86,69,80,"['Horror', 'Mystery & Thriller']",R,1h 22m,2021,"['Ezra Dewey', 'Rob Brownstein', 'Tevy Poe', 'Donald Pitts', 'John Erickson']","['David Charbonier 2', 'Justin Powell 2']"
115,Rumble,44,49,45,"['Kids & Family', 'Comedy', 'Fantasy', 'Animation']",PG,1h 44m,2021,"['Will Arnett', 'Terry Crews', 'Geraldine Viswanathan', 'Roman Reigns', 'Tony Danza']",['Hamish Grieve']
116,Too Late,75,72,74,"['Comedy', 'Horror']",,1h 19m,2021,"['Mary Lynn Rajskub', 'Fred Armisen', 'Jack De Sena', 'Ron Lynch', 'Brooks Wheelan']",['Dw Thomas 2']
117,Gun Crazy,91,84,88,"['Crime', 'Drama']",,1h 27m,1950,"['Peggy Cummins', 'John Dall', 'Berry Kroeger', 'Morris Carnovsky', 'Anabel Shaw']",['Joseph H Lewis']
118,Wrath of Man,67,90,74,"['Action', 'Mystery & Thriller', 'Crime', 'Drama']",R,1h 59m,2021,"['Jason Statham', 'Holt McCallany', 'Jeffrey Donovan', 'Josh Hartnett', 'Laz Alonso']",['Guy Ritchie']
119,Float Like a Butterfly,87,69,81,['Drama'],,1h 41m,2018,"['Hazel Doupe', 'Dara Devaney', 'Johnny Collins', 'Hilda Fay', 'Jamie Kierans']",['Carmel Winters']
120,Tombstone,72,94,79,"['Western', 'Action']",R,2h 7m,1993,"['Kurt Russell', 'Val Kilmer', 'Michael Biehn', 'Powers Boothe', 'Robert John Burke']",['George P Cosmatos']
121,Sweet Girl,24,49,32,['Mystery & Thriller'],R,1h 50m,2021,"['Jason Momoa', 'Isabela Merced', 'Manuel Garcia-Rulfo', 'Raza Jaffrey', 'Amy Brenneman']",['Brian Andrew Mendoza']
