88,100 Years of Men in Love: The Accidental Collection,100,40,79,"['Documentary', 'History', 'LGBTQ+']",,57m,2022,"['Hugh Nini', 'Neal Treadwell', 'David Millbern', 'David Millbern', 'David Millbern']",['David Milbern']
89,The Rebellious Life of Mrs. Rosa Parks,100,100,99,"['Documentary', 'Biography', 'History']",,1h 36m,2022,"['LisaGay Hamilton', 'Rosa Parks', 'Bryan Stevenson', 'Patrisse Cullors', 'Ericka Huggins']","['Johanna Hamilton', 'Yoruba Richen']"
90,Affliction,88,72,82,['Drama'],R,1h 53m,1997,"['Nick Nolte', 'Sissy Spacek', 'James Coburn', 'Willem Dafoe', 'Mary Beth Hurt']",['Paul Schrader']
91,So Cold the River,58,42,52,"['Horror', 'Mystery & Thriller']",R,1h 35m,2022,"['Bethany Joy Lenz', 'Alysia Reiner', 'Katie Sarife', 'Andrew J. West', 'Deanna Dunagan']",['Paul Shoulberg']
92,The Other Me,45,77,55,['Mystery & Thriller'],,1h 39m,2022,"['Jim Sturgess', 'Andreja Pejić', 'Antonia Campbell-Hughes', 'Rhona Mitra', 'Orla Brady']",['Giga Agladze']
93,No Exit,62,52,58,"['Mystery & Thriller', 'Drama']",R,1h 35m,2022,"['Dale Dickey', 'Dennis Haysbert', 'Danny Ramirez', 'David Rysdahl', 'Mila Harris']",['Damien Power']
94,Minamata,78,92,82,['Drama'],R,1h 55m,2020,"['Johnny Depp', 'Hiroyuki Sanada', 'Jun Kunimura', 'Minami', 'Bill Nighy']",['Andrew Levitas']
95,Father of Flies,80,15,58,"['Horror', 'Mystery & Thriller']",,1h 18m,2021,"['Camilla Rutherford', 'Nicholas Tucci', 'Sandra Andreis', 'Davi Santos', 'Page Ruth']",['Ben Charles Edwards']
96,We're All Going to the World's Fair,90,27,69,"['Horror', 'Drama']",,1h 26m,2021,"['Anna Cobb', 'Michael J. Rogers', 'Jane Schoenbrun', 'Jane Schoenbrun', 'Sarah Winshall']",['Jane Schoenbrun 2']
97,Chickenhare and the Hamster of Darkness,60,74,64,"['Kids & Family', 'Adventure', 'Comedy', 'Animation']",,1h 31m,2022,"['Danny Fehsenfeld', 'Donte Paris', 'Joe Ochman', 'Ben Stassen', 'David Collard']",['Ben Stassen']
98,Our American Family,100,70,89,['Documentary'],,1h 28m,2021,"['Hallee Adelman', ""Sean King O'Grady"", 'Hallee Adelman', ""Sean King O'Grady"", 'Caroline Libresco']","['Hallee Adelman', 'Sean Ogrady']"
99,Metamorphosis,40,48,42,"['Horror', 'Mystery & Thriller']",,1h 53m,2019,"['Bae Seong-woo', 'Sung Dong-il', 'Jang Young-nam', 'Kim Hyejun', 'Jo Yi-hyun']",['Kim Hong Sun']
100,Blonde Venus,64,70,66,['Drama'],,1h 34m,1932,"['Marlene Dietrich', 'Herbert Marshall', 'Cary Grant', 'Dickie Moore', ""Robert Emmett O'Connor""]",['Joseph Von Sternberg']
101,Father of the Bride,80,52,70,"['Comedy', 'Drama', 'Romance']",PG-13,1h 58m,2022,"['Andy Garcia', 'Gloria Estefan', 'Adria Arjona', 'Diego Boneta', 'Pedro Damián']",['Gary Alazraki']
102,Look at Me: XXXTENTACION,92,90,91,"['Documentary', 'Music', 'Biography']",,2h 0m,2022,"['XXXTENTACION', 'Sabaah Folayan', 'Chloe Campion', 'Darcy McKinnon', 'Cleopatra Bernard']",['Sabaah Folayan']
103,Good Madam,86,36,69,['Horror'],,1h 32m,2021,"['Chumisa Cosa', 'Nosipho Mtebe', 'Kamvalethu Jonas Raziya', 'Sanda Shandu', 'Khanyiso Kenqa']",['Jenna Bass']
