115,The Loveless,73,60,68,['Drama'],R,1h 24m,1983,"['J. Don Ferguson', 'Willem Dafoe', 'Robert Gordon', 'Kathryn Bigelow', 'Monty Montgomery']","['Kathryn Bigelow', 'Monty Montgomery']"
116,The Right One,40,74,51,"['Romance', 'Comedy']",R,1h 35m,2021,"['Nick Thune', 'Cleopatra Coleman', 'Iliza Shlesinger', 'David Koechner', 'Trezzo Mahoro']",['Ken Mok']
117,Double Team,11,25,15,['Adventure'],R,1h 31m,1997,"['Jean-Claude Van Damme', 'Dennis Rodman', 'Mickey Rourke', 'Paul Freeman', 'Natacha Lindinger']",['771391916']
118,The Courier,85,95,88,"['Mystery & Thriller', 'History', 'Drama']",PG-13,1h 51m,2020,"['Benedict Cumberbatch', 'Merab Ninidze', 'Vladimir Chuprikov', 'James Schofield', 'Rachel Brosnahan']",['Dominic Cooke']
119,P!nk: All I Know So Far,69,89,75,"['Documentary', 'Music']",,1h 39m,2021,"['Pink', 'Carey Hart', 'Willow Sage Hart', 'Michael Gracey', 'Jory Anast']",['Michael Gracey']
120,F9 The Fast Saga,59,82,66,"['Action', 'Adventure', 'Crime']",PG-13,2h 25m,2021,"['Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris']",['Justin Lin']
121,Hyde Park on Hudson,37,31,35,"['History', 'Drama']",R,1h 34m,2012,"['Bill Murray', 'Laura Linney', 'Samuel West', 'Olivia Colman', 'Olivia Williams']",['Roger Michell']
122,Mary J. Blige's My Life,60,40,53,"['Documentary', 'Music']",R,1h 22m,2021,"['Mary J. Blige', 'Taraji P. Henson', 'Alicia Keys', 'Diddy', 'Vanessa Roth']",['Vanessa Roth']
123,Wild Indian,91,57,79,"['Mystery & Thriller', 'Drama']",,1h 30m,2021,"['Michael Greyeyes', 'Evan Assante', 'Kody Burns', 'Jesse Eisenberg', 'Kate Bosworth']",['Lyle Mitchell Corbine Jr']
124,Ride Lonesome,90,71,83,['Western'],,1h 13m,1959,"['Randolph Scott', 'Karen Steele', 'Pernell Roberts', 'James Best', 'Lee Van Cleef']",['Bud Boetticher']
125,Three the Hard Way,33,50,38,['Action'],R,1h 33m,1974,"['Jim Brown', 'Fred Williamson', 'Jim Kelly', 'Sheila Frazier', 'Jay Robinson']",['Gordon Parks Jr']
126,Nobody,84,94,87,"['Action', 'Mystery & Thriller', 'Comedy']",R,1h 32m,2021,"['Bob Odenkirk', 'Connie Nielsen', 'Alexey Serebryakov', 'Christopher Lloyd', 'RZA']",['Ilya Naishuller']
